id,status,ok,latency_ms,queued_at,started_at,ended_at,prompt_tokens,completion_tokens,total_tokens,error
7,200,1,42791.8,2025-09-26T17:05:29.745880+00:00,2025-09-26T17:05:29.745885+00:00,2025-09-26T17:06:12.537676+00:00,99,1811,1910,
10,200,1,52943.05,2025-09-26T17:05:29.746381+00:00,2025-09-26T17:05:29.746386+00:00,2025-09-26T17:06:22.689412+00:00,99,2145,2244,
8,200,1,52951.17,2025-09-26T17:05:29.746045+00:00,2025-09-26T17:05:29.746050+00:00,2025-09-26T17:06:22.697201+00:00,99,2084,2183,
1,200,1,53794.83,2025-09-26T17:05:29.738739+00:00,2025-09-26T17:05:29.738751+00:00,2025-09-26T17:06:23.533564+00:00,99,2112,2211,
47,200,1,56196.75,2025-09-26T17:05:29.752870+00:00,2025-09-26T17:05:29.752875+00:00,2025-09-26T17:06:25.949616+00:00,99,2542,2641,
26,200,1,59646.24,2025-09-26T17:05:29.749043+00:00,2025-09-26T17:05:29.749048+00:00,2025-09-26T17:06:29.395268+00:00,99,2407,2506,
34,200,1,61606.15,2025-09-26T17:05:29.750540+00:00,2025-09-26T17:05:29.750545+00:00,2025-09-26T17:06:31.356673+00:00,99,2597,2696,
28,200,1,68756.91,2025-09-26T17:05:29.749374+00:00,2025-09-26T17:05:29.749379+00:00,2025-09-26T17:06:38.506249+00:00,99,2765,2864,
40,200,1,75908.11,2025-09-26T17:05:29.751611+00:00,2025-09-26T17:05:29.751616+00:00,2025-09-26T17:06:45.659711+00:00,99,1490,1589,
5,200,1,88884.62,2025-09-26T17:05:29.745345+00:00,2025-09-26T17:05:29.745350+00:00,2025-09-26T17:06:58.629952+00:00,99,1265,1364,
46,200,1,96692.42,2025-09-26T17:05:29.752693+00:00,2025-09-26T17:05:29.752697+00:00,2025-09-26T17:07:06.445110+00:00,99,1993,2092,
11,200,1,101576.99,2025-09-26T17:05:29.746549+00:00,2025-09-26T17:05:29.746554+00:00,2025-09-26T17:07:11.323527+00:00,99,1756,1855,
9,200,1,102058.75,2025-09-26T17:05:29.746212+00:00,2025-09-26T17:05:29.746217+00:00,2025-09-26T17:07:11.804939+00:00,99,2108,2207,
33,200,1,108136.38,2025-09-26T17:05:29.750243+00:00,2025-09-26T17:05:29.750248+00:00,2025-09-26T17:07:17.886616+00:00,99,2463,2562,
18,200,1,113071.12,2025-09-26T17:05:29.747710+00:00,2025-09-26T17:05:29.747715+00:00,2025-09-26T17:07:22.818812+00:00,99,2039,2138,
4,0,0,120340.95,2025-09-26T17:05:29.745134+00:00,2025-09-26T17:05:29.745139+00:00,2025-09-26T17:07:30.086067+00:00,0,0,0,
3,0,0,120342.35,2025-09-26T17:05:29.744957+00:00,2025-09-26T17:05:29.744963+00:00,2025-09-26T17:07:30.087294+00:00,0,0,0,
2,0,0,120343.44,2025-09-26T17:05:29.744659+00:00,2025-09-26T17:05:29.744667+00:00,2025-09-26T17:07:30.088093+00:00,0,0,0,
13,0,0,120342.12,2025-09-26T17:05:29.746879+00:00,2025-09-26T17:05:29.746883+00:00,2025-09-26T17:07:30.088978+00:00,0,0,0,
17,0,0,120342.31,2025-09-26T17:05:29.747544+00:00,2025-09-26T17:05:29.747548+00:00,2025-09-26T17:07:30.089841+00:00,0,0,0,
15,0,0,120343.37,2025-09-26T17:05:29.747202+00:00,2025-09-26T17:05:29.747206+00:00,2025-09-26T17:07:30.090557+00:00,0,0,0,
14,0,0,120344.37,2025-09-26T17:05:29.747036+00:00,2025-09-26T17:05:29.747040+00:00,2025-09-26T17:07:30.091393+00:00,0,0,0,
23,0,0,120343.45,2025-09-26T17:05:29.748542+00:00,2025-09-26T17:05:29.748547+00:00,2025-09-26T17:07:30.091981+00:00,0,0,0,
16,0,0,120345.33,2025-09-26T17:05:29.747374+00:00,2025-09-26T17:05:29.747379+00:00,2025-09-26T17:07:30.092694+00:00,0,0,0,
20,0,0,120345.91,2025-09-26T17:05:29.748044+00:00,2025-09-26T17:05:29.748048+00:00,2025-09-26T17:07:30.093943+00:00,0,0,0,
21,0,0,120346.42,2025-09-26T17:05:29.748215+00:00,2025-09-26T17:05:29.748220+00:00,2025-09-26T17:07:30.094625+00:00,0,0,0,
12,0,0,120348.56,2025-09-26T17:05:29.746713+00:00,2025-09-26T17:05:29.746717+00:00,2025-09-26T17:07:30.095271+00:00,0,0,0,
19,0,0,120347.99,2025-09-26T17:05:29.747878+00:00,2025-09-26T17:05:29.747883+00:00,2025-09-26T17:07:30.095863+00:00,0,0,0,
22,0,0,120348.1,2025-09-26T17:05:29.748377+00:00,2025-09-26T17:05:29.748382+00:00,2025-09-26T17:07:30.096466+00:00,0,0,0,
24,0,0,120348.34,2025-09-26T17:05:29.748708+00:00,2025-09-26T17:05:29.748713+00:00,2025-09-26T17:07:30.097038+00:00,0,0,0,
25,0,0,120348.73,2025-09-26T17:05:29.748871+00:00,2025-09-26T17:05:29.748875+00:00,2025-09-26T17:07:30.097599+00:00,0,0,0,
