id,status,ok,latency_ms,queued_at,started_at,ended_at,prompt_tokens,completion_tokens,total_tokens,error
9,0,0,2307.86,2025-09-26T17:26:23.195048+00:00,2025-09-26T17:26:23.195053+00:00,2025-09-26T17:26:25.502898+00:00,0,0,0,All connection attempts failed
4,0,0,2309.07,2025-09-26T17:26:23.194227+00:00,2025-09-26T17:26:23.194232+00:00,2025-09-26T17:26:25.503296+00:00,0,0,0,All connection attempts failed
12,0,0,2308.0,2025-09-26T17:26:23.195544+00:00,2025-09-26T17:26:23.195549+00:00,2025-09-26T17:26:25.503542+00:00,0,0,0,All connection attempts failed
5,0,0,2309.39,2025-09-26T17:26:23.194391+00:00,2025-09-26T17:26:23.194396+00:00,2025-09-26T17:26:25.503775+00:00,0,0,0,All connection attempts failed
6,0,0,2309.45,2025-09-26T17:26:23.194561+00:00,2025-09-26T17:26:23.194566+00:00,2025-09-26T17:26:25.504006+00:00,0,0,0,All connection attempts failed
11,0,0,2308.86,2025-09-26T17:26:23.195382+00:00,2025-09-26T17:26:23.195386+00:00,2025-09-26T17:26:25.504240+00:00,0,0,0,All connection attempts failed
13,0,0,2309.0,2025-09-26T17:26:23.195713+00:00,2025-09-26T17:26:23.195718+00:00,2025-09-26T17:26:25.504712+00:00,0,0,0,All connection attempts failed
3,0,0,2310.9,2025-09-26T17:26:23.194040+00:00,2025-09-26T17:26:23.194046+00:00,2025-09-26T17:26:25.504943+00:00,0,0,0,All connection attempts failed
1,0,0,2317.64,2025-09-26T17:26:23.187576+00:00,2025-09-26T17:26:23.187588+00:00,2025-09-26T17:26:25.505217+00:00,0,0,0,All connection attempts failed
22,0,0,2308.27,2025-09-26T17:26:23.197196+00:00,2025-09-26T17:26:23.197201+00:00,2025-09-26T17:26:25.505469+00:00,0,0,0,All connection attempts failed
28,0,0,2307.5,2025-09-26T17:26:23.198202+00:00,2025-09-26T17:26:23.198206+00:00,2025-09-26T17:26:25.505696+00:00,0,0,0,All connection attempts failed
2,0,0,2312.24,2025-09-26T17:26:23.193729+00:00,2025-09-26T17:26:23.193738+00:00,2025-09-26T17:26:25.505975+00:00,0,0,0,All connection attempts failed
18,0,0,2309.68,2025-09-26T17:26:23.196535+00:00,2025-09-26T17:26:23.196539+00:00,2025-09-26T17:26:25.506216+00:00,0,0,0,All connection attempts failed
19,0,0,2309.75,2025-09-26T17:26:23.196698+00:00,2025-09-26T17:26:23.196702+00:00,2025-09-26T17:26:25.506444+00:00,0,0,0,All connection attempts failed
38,0,0,2306.58,2025-09-26T17:26:23.200087+00:00,2025-09-26T17:26:23.200092+00:00,2025-09-26T17:26:25.506667+00:00,0,0,0,All connection attempts failed
42,0,0,2306.12,2025-09-26T17:26:23.200782+00:00,2025-09-26T17:26:23.200787+00:00,2025-09-26T17:26:25.506897+00:00,0,0,0,All connection attempts failed
10,0,0,2311.91,2025-09-26T17:26:23.195218+00:00,2025-09-26T17:26:23.195223+00:00,2025-09-26T17:26:25.507122+00:00,0,0,0,All connection attempts failed
7,0,0,2312.62,2025-09-26T17:26:23.194726+00:00,2025-09-26T17:26:23.194730+00:00,2025-09-26T17:26:25.507341+00:00,0,0,0,All connection attempts failed
40,0,0,2307.12,2025-09-26T17:26:23.200438+00:00,2025-09-26T17:26:23.200443+00:00,2025-09-26T17:26:25.507558+00:00,0,0,0,All connection attempts failed
46,0,0,2306.27,2025-09-26T17:26:23.201502+00:00,2025-09-26T17:26:23.201507+00:00,2025-09-26T17:26:25.507773+00:00,0,0,0,All connection attempts failed
29,0,0,2309.62,2025-09-26T17:26:23.198370+00:00,2025-09-26T17:26:23.198375+00:00,2025-09-26T17:26:25.507987+00:00,0,0,0,All connection attempts failed
34,0,0,2308.8,2025-09-26T17:26:23.199397+00:00,2025-09-26T17:26:23.199402+00:00,2025-09-26T17:26:25.508200+00:00,0,0,0,All connection attempts failed
8,0,0,2313.53,2025-09-26T17:26:23.194886+00:00,2025-09-26T17:26:23.194891+00:00,2025-09-26T17:26:25.508413+00:00,0,0,0,All connection attempts failed
26,0,0,2310.79,2025-09-26T17:26:23.197863+00:00,2025-09-26T17:26:23.197867+00:00,2025-09-26T17:26:25.508648+00:00,0,0,0,All connection attempts failed
27,0,0,2310.87,2025-09-26T17:26:23.198033+00:00,2025-09-26T17:26:23.198037+00:00,2025-09-26T17:26:25.508899+00:00,0,0,0,All connection attempts failed
44,0,0,2308.13,2025-09-26T17:26:23.201142+00:00,2025-09-26T17:26:23.201147+00:00,2025-09-26T17:26:25.509264+00:00,0,0,0,All connection attempts failed
47,0,0,2307.88,2025-09-26T17:26:23.201684+00:00,2025-09-26T17:26:23.201688+00:00,2025-09-26T17:26:25.509563+00:00,0,0,0,All connection attempts failed
45,0,0,2308.54,2025-09-26T17:26:23.201320+00:00,2025-09-26T17:26:23.201326+00:00,2025-09-26T17:26:25.509855+00:00,0,0,0,All connection attempts failed
25,0,0,2312.46,2025-09-26T17:26:23.197695+00:00,2025-09-26T17:26:23.197699+00:00,2025-09-26T17:26:25.510150+00:00,0,0,0,All connection attempts failed
16,0,0,2314.18,2025-09-26T17:26:23.196205+00:00,2025-09-26T17:26:23.196209+00:00,2025-09-26T17:26:25.510384+00:00,0,0,0,All connection attempts failed
31,0,0,2311.74,2025-09-26T17:26:23.198867+00:00,2025-09-26T17:26:23.198873+00:00,2025-09-26T17:26:25.510610+00:00,0,0,0,All connection attempts failed
32,0,0,2311.79,2025-09-26T17:26:23.199041+00:00,2025-09-26T17:26:23.199046+00:00,2025-09-26T17:26:25.510834+00:00,0,0,0,All connection attempts failed
50,0,0,2308.83,2025-09-26T17:26:23.202221+00:00,2025-09-26T17:26:23.202226+00:00,2025-09-26T17:26:25.511052+00:00,0,0,0,All connection attempts failed
30,0,0,2312.58,2025-09-26T17:26:23.198684+00:00,2025-09-26T17:26:23.198689+00:00,2025-09-26T17:26:25.511266+00:00,0,0,0,All connection attempts failed
23,0,0,2314.21,2025-09-26T17:26:23.197357+00:00,2025-09-26T17:26:23.197364+00:00,2025-09-26T17:26:25.511566+00:00,0,0,0,All connection attempts failed
39,0,0,2311.57,2025-09-26T17:26:23.200262+00:00,2025-09-26T17:26:23.200267+00:00,2025-09-26T17:26:25.511831+00:00,0,0,0,All connection attempts failed
21,0,0,2315.15,2025-09-26T17:26:23.197025+00:00,2025-09-26T17:26:23.197030+00:00,2025-09-26T17:26:25.512169+00:00,0,0,0,All connection attempts failed
43,0,0,2311.47,2025-09-26T17:26:23.200956+00:00,2025-09-26T17:26:23.200961+00:00,2025-09-26T17:26:25.512421+00:00,0,0,0,All connection attempts failed
35,0,0,2313.14,2025-09-26T17:26:23.199579+00:00,2025-09-26T17:26:23.199586+00:00,2025-09-26T17:26:25.512722+00:00,0,0,0,All connection attempts failed
33,0,0,2313.75,2025-09-26T17:26:23.199225+00:00,2025-09-26T17:26:23.199230+00:00,2025-09-26T17:26:25.512972+00:00,0,0,0,All connection attempts failed
15,0,0,2317.21,2025-09-26T17:26:23.196042+00:00,2025-09-26T17:26:23.196047+00:00,2025-09-26T17:26:25.513254+00:00,0,0,0,All connection attempts failed
37,0,0,2313.6,2025-09-26T17:26:23.199915+00:00,2025-09-26T17:26:23.199920+00:00,2025-09-26T17:26:25.513509+00:00,0,0,0,All connection attempts failed
48,0,0,2311.88,2025-09-26T17:26:23.201861+00:00,2025-09-26T17:26:23.201866+00:00,2025-09-26T17:26:25.513740+00:00,0,0,0,All connection attempts failed
36,0,0,2314.24,2025-09-26T17:26:23.199747+00:00,2025-09-26T17:26:23.199751+00:00,2025-09-26T17:26:25.513985+00:00,0,0,0,All connection attempts failed
20,0,0,2317.35,2025-09-26T17:26:23.196860+00:00,2025-09-26T17:26:23.196864+00:00,2025-09-26T17:26:25.514210+00:00,0,0,0,All connection attempts failed
14,0,0,2318.6,2025-09-26T17:26:23.195877+00:00,2025-09-26T17:26:23.195882+00:00,2025-09-26T17:26:25.514472+00:00,0,0,0,All connection attempts failed
17,0,0,2318.38,2025-09-26T17:26:23.196371+00:00,2025-09-26T17:26:23.196375+00:00,2025-09-26T17:26:25.514752+00:00,0,0,0,All connection attempts failed
24,0,0,2317.48,2025-09-26T17:26:23.197531+00:00,2025-09-26T17:26:23.197536+00:00,2025-09-26T17:26:25.515011+00:00,0,0,0,All connection attempts failed
41,0,0,2314.67,2025-09-26T17:26:23.200610+00:00,2025-09-26T17:26:23.200615+00:00,2025-09-26T17:26:25.515280+00:00,0,0,0,All connection attempts failed
49,0,0,2313.57,2025-09-26T17:26:23.202038+00:00,2025-09-26T17:26:23.202043+00:00,2025-09-26T17:26:25.515604+00:00,0,0,0,All connection attempts failed
